DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,FI,2017,135.634,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,FI,2018,128.138,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,FI,2019,117.799,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,FI,2020,105.715,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,FR,2011,1220.083,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,FR,2012,1331.617,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,FR,2013,1145.033,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,FR,2014,1051.480,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,FR,2015,1111.499,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,FR,2016,1077.938,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,FR,2017,1124.436,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,FR,2018,1159.470,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,FR,2019,950.297,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,FR,2020,837.606,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,GE,2013,314.634,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,GE,2014,290.462,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,GE,2015,271.769,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,GE,2016,250.280,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,GE,2017,276.057,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,GE,2018,293.700,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,GE,2019,241.024,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,GE,2020,212.848,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,HR,2011,144.499,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,HR,2012,129.494,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,HR,2013,116.000,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,HR,2014,102.552,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,HR,2015,81.382,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,HR,2016,66.927,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,HR,2017,76.171,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,HR,2018,68.846,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,HR,2019,82.715,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,HR,2020,104.972,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,HU,2011,261.659,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,HU,2012,228.958,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,HU,2013,184.615,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,HU,2014,161.659,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,HU,2015,175.751,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,HU,2016,200.345,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,HU,2017,289.962,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,HU,2018,226.412,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,HU,2019,184.799,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,HU,2020,156.907,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,IE,2011,306.260,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,IE,2012,320.661,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,IE,2013,326.905,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,IE,2014,324.805,
ESTAT:TEN00123$DEFAULTVIEW(1.0),25/01/22 23:00:00,A,FC_E,C0000X0350-0370,KTOE,IE,2015,339.740,
